rowid,occurred_on,tipo,amount_cents,descricao,categoria
0,2024-02-05,receita,39440,Payment from DR JOHN CLARKE,Salário
1,2024-02-05,despesa,39440,To Joana Palminha,Transferências internas
2,2024-02-19,receita,77538,Payment from DR JOHN CLARKE,Salário
3,2024-02-19,despesa,77538,To Joana Palminha,Transferências internas
4,2024-03-04,receita,77538,Payment from DR JOHN CLARKE,Salário
5,2024-03-04,despesa,77538,To Joana Palminha,Transferências internas
6,2024-03-09,receita,5000,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
7,2024-03-11,despesa,1399,Guineys,Compras e Roupa
8,2024-03-18,receita,316667,Payment from DR JOHN CLARKE,Salário
9,2024-03-18,despesa,317268,To Joana Palminha,Transferências internas
10,2024-03-20,receita,700,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
11,2024-03-21,despesa,550,Nom Treats Thomas St,Lazer
12,2024-03-23,receita,4000,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
13,2024-04-02,receita,134226,Payment from DR JOHN CLARKE,Salário
14,2024-04-02,despesa,134300,To Joana Palminha,Transferências internas
15,2024-04-15,receita,133643,Payment from DR JOHN CLARKE,Salário
16,2024-04-16,despesa,133700,To Joana Palminha,Transferências internas
17,2024-04-21,receita,2000,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
18,2024-04-21,receita,2000,Payment from JOANA FILIPA COSTA PALMINHA,Transferências internas
19,2024-04-23,despesa,1800,Penneys,Compras e Roupa
20,2024-04-23,despesa,1200,Cex Limerick,Compras e Roupa
21,2024-04-29,receita,133644,Payment from DR JOHN CLARKE,Salário
22,2024-04-29,despesa,56000,To Joana Palminha,Transferências internas
23,2024-04-30,despesa,78500,To Michael Quinn,Moradia
24,2024-05-13,receita,133643,Payment from DR JOHN CLARKE,Salário
25,2024-05-13,despesa,133800,To Joana Palminha,Transferências internas
26,2024-05-27,receita,133643,Payment from DR JOHN CLARKE,Salário
27,2024-05-27,despesa,55100,To Joana Palminha,Transferências internas
28,2024-06-03,despesa,78500,To Michael Quinn,Moradia
29,2024-06-10,receita,133644,Payment from DR JOHN CLARKE,Salário
30,2024-06-10,despesa,133600,To Joana Palminha,Transferências internas
31,2024-06-24,receita,133643,Payment from DR JOHN CLARKE,Salário
32,2024-06-24,despesa,55100,To Joana Palminha,Transferências internas
33,2024-06-28,despesa,78500,To Michael Quinn,Moradia
34,2024-07-08,receita,133644,Payment from DR JOHN CLARKE,Salário
35,2024-07-09,despesa,133700,To Joana Palminha,Transferências internas
36,2024-07-22,receita,133643,Payment from DR JOHN CLARKE,Salário
37,2024-07-22,despesa,55200,To Joana Palminha,Transferências internas
38,2024-07-30,despesa,78500,To Michael Quinn,Moradia
39,2024-08-05,receita,133643,Payment from DR JOHN CLARKE,Salário
40,2024-08-05,despesa,133600,To Joana Palminha,Transferências internas
41,2024-08-19,receita,133644,Payment from DR JOHN CLARKE,Salário
42,2024-08-19,despesa,55100,To Joana Palminha,Transferências internas
